RMSE,max_depth,max_features,min_samples_leaf,min_samples_split
58830.05820640087,50.0,,15,50
58830.05820640087,30.0,,15,50
58830.05820640087,,,15,50
58929.33359217732,50.0,,15,75
58929.33359217732,,,15,75
58929.33359217732,30.0,,15,75
58967.86138501921,50.0,,10,75
58967.86138501921,,,10,75
58967.86138501921,30.0,,10,75
58978.31352516618,30.0,,20,50
58978.31352516618,50.0,,20,50
58978.31352516618,,,20,50
59032.55652834118,,,5,75
59032.55652834118,30.0,,5,75
59032.55652834118,50.0,,5,75
59040.43409827093,30.0,,20,10
59040.43409827093,,,20,10
59040.43409827093,50.0,,20,20
59040.43409827093,50.0,,20,10
59040.43409827093,30.0,,20,20
59040.43409827093,,,20,20
59119.66554321217,,,20,75
59119.66554321217,30.0,,20,75
59119.66554321217,50.0,,20,75
59142.7055814534,,,10,50
59142.7055814534,50.0,,10,50
59142.7055814534,30.0,,10,50
59204.701555488726,,,10,100
59204.701555488726,50.0,,10,100
59204.701555488726,30.0,,10,100
59224.132967778045,30.0,,15,100
59224.132967778045,,,15,100
59224.132967778045,50.0,,15,100
59247.69021367936,30.0,,15,20
59247.69021367936,50.0,,15,20
59247.69021367936,,,15,20
59247.69021367936,,,15,10
59247.69021367936,30.0,,15,10
59247.69021367936,50.0,,15,10
59250.18988175496,50.0,,5,100
59250.18988175496,30.0,,5,100
59250.18988175496,,,5,100
59320.00698751823,30.0,,5,50
59320.00698751823,,,5,50
59320.00698751823,50.0,,5,50
59356.088222882194,30.0,,20,100
59356.088222882194,50.0,,20,100
59356.088222882194,,,20,100
59383.54892716301,10.0,,15,50
59404.82580282137,10.0,,15,75
59543.13850040491,10.0,,20,20
59543.13850040491,10.0,,20,10
59547.08948641375,10.0,,15,100
59554.996258587336,10.0,,10,75
59556.508980118044,10.0,,20,50
59582.70015737917,10.0,,15,20
59582.70015737917,10.0,,15,10
59650.67208486226,10.0,,10,100
59660.86365871348,10.0,,10,50
59676.0560612681,10.0,,5,75
59683.910798713194,10.0,,20,75
59757.660442572116,10.0,,5,100
59797.7193072657,10.0,,5,50
59856.02257144457,10.0,,20,100
60068.51290377561,50.0,,1,75
60068.51290377561,30.0,,1,75
60068.51290377561,,,1,75
60069.74163012489,10.0,,10,20
60069.74163012489,10.0,,10,10
60165.19172241121,30.0,,10,10
60165.19172241121,50.0,,10,10
60165.19172241121,50.0,,10,20
60165.19172241121,30.0,,10,20
60165.19172241121,,,10,20
60165.19172241121,,,10,10
60205.17966948454,10.0,,1,75
60217.026269815775,10.0,,5,20
60238.03224823885,,,1,100
60238.03224823885,30.0,,1,100
60238.03224823885,50.0,,1,100
60298.01329765787,10.0,,1,100
60497.56466451291,10.0,,5,10
60647.46837654241,10.0,,1,50
60789.94944396517,30.0,,5,20
60789.94944396517,50.0,,5,20
60789.94944396517,,,5,20
60968.51595386879,30.0,,1,50
60968.51595386879,50.0,,1,50
60968.51595386879,,,1,50
61398.35911620111,10.0,,1,20
62056.24290857084,10.0,,1,10
62428.6408397624,30.0,,5,10
62428.6408397624,50.0,,5,10
62428.6408397624,,,5,10
63484.97822750042,50.0,log2,1,50
63484.97822750042,50.0,sqrt,1,50
63484.97822750042,,log2,1,50
63484.97822750042,30.0,log2,1,50
63484.97822750042,,sqrt,1,50
63484.97822750042,30.0,sqrt,1,50
63824.92153816798,30.0,log2,5,20
63824.92153816798,50.0,log2,5,20
63824.92153816798,,sqrt,5,20
63824.92153816798,,log2,5,20
63824.92153816798,30.0,sqrt,5,20
63824.92153816798,50.0,sqrt,5,20
63869.70099286739,50.0,,1,20
63869.70099286739,,,1,20
63891.65716388596,30.0,,1,20
63964.28164666014,50.0,log2,10,50
63964.28164666014,,log2,10,50
63964.28164666014,50.0,sqrt,10,50
63964.28164666014,,sqrt,10,50
63964.28164666014,30.0,sqrt,10,50
63964.28164666014,30.0,log2,10,50
64065.123932640214,,sqrt,20,10
64065.123932640214,50.0,log2,20,10
64065.123932640214,50.0,sqrt,20,20
64065.123932640214,,log2,20,10
64065.123932640214,,log2,20,20
64065.123932640214,50.0,sqrt,20,10
64065.123932640214,30.0,sqrt,20,20
64065.123932640214,50.0,log2,20,20
64065.123932640214,30.0,log2,20,10
64065.123932640214,30.0,sqrt,20,10
64065.123932640214,,sqrt,20,20
64065.123932640214,30.0,log2,20,20
64399.47998655201,30.0,log2,10,100
64399.47998655201,30.0,sqrt,10,100
64399.47998655201,50.0,sqrt,10,100
64399.47998655201,,sqrt,10,100
64399.47998655201,50.0,log2,10,100
64399.47998655201,,log2,10,100
64583.17286249211,10.0,log2,10,10
64583.17286249211,10.0,log2,10,20
64583.17286249211,10.0,sqrt,10,20
64583.17286249211,10.0,sqrt,10,10
64758.66102245798,30.0,sqrt,15,10
64758.66102245798,50.0,log2,15,10
64758.66102245798,30.0,sqrt,15,20
64758.66102245798,30.0,log2,15,20
64758.66102245798,30.0,log2,15,10
64758.66102245798,,log2,15,10
64758.66102245798,50.0,log2,15,20
64758.66102245798,50.0,sqrt,15,10
64758.66102245798,,sqrt,15,10
64758.66102245798,,sqrt,15,20
64758.66102245798,,log2,15,20
64758.66102245798,50.0,sqrt,15,20
64760.16122761807,,log2,15,50
64760.16122761807,30.0,log2,15,50
64760.16122761807,50.0,sqrt,15,50
64760.16122761807,,sqrt,15,50
64760.16122761807,30.0,sqrt,15,50
64760.16122761807,50.0,log2,15,50
64856.2891223205,,sqrt,1,100
64856.2891223205,50.0,sqrt,1,100
64856.2891223205,30.0,sqrt,1,100
64856.2891223205,30.0,log2,1,100
64856.2891223205,50.0,log2,1,100
64856.2891223205,,log2,1,100
64918.43702142423,10.0,log2,15,50
64918.43702142423,10.0,sqrt,15,50
64934.888572371376,10.0,sqrt,5,75
64934.888572371376,10.0,log2,5,75
65248.190639597786,,sqrt,5,75
65248.190639597786,30.0,sqrt,5,75
65248.190639597786,30.0,log2,5,75
65248.190639597786,50.0,log2,5,75
65248.190639597786,50.0,sqrt,5,75
65248.190639597786,,log2,5,75
65262.336032618696,10.0,log2,15,10
65262.336032618696,10.0,log2,15,20
65262.336032618696,10.0,sqrt,15,20
65262.336032618696,10.0,sqrt,15,10
65364.81542622714,,sqrt,5,50
65364.81542622714,50.0,log2,5,50
65364.81542622714,,log2,5,50
65364.81542622714,30.0,log2,5,50
65364.81542622714,30.0,sqrt,5,50
65364.81542622714,50.0,sqrt,5,50
65379.93540686691,,sqrt,10,10
65379.93540686691,50.0,sqrt,10,10
65379.93540686691,50.0,sqrt,10,20
65379.93540686691,30.0,sqrt,10,20
65379.93540686691,30.0,log2,10,20
65379.93540686691,30.0,log2,10,10
65379.93540686691,,sqrt,10,20
65379.93540686691,,log2,10,20
65379.93540686691,,log2,10,10
65379.93540686691,50.0,log2,10,20
65379.93540686691,50.0,log2,10,10
65379.93540686691,30.0,sqrt,10,10
65391.403330574525,50.0,sqrt,20,75
65391.403330574525,50.0,log2,20,75
65391.403330574525,30.0,log2,20,75
65391.403330574525,,sqrt,20,75
65391.403330574525,30.0,sqrt,20,75
65391.403330574525,,log2,20,75
65497.4245722632,10.0,sqrt,20,50
65497.4245722632,10.0,log2,20,50
65626.94820047177,,sqrt,20,100
65626.94820047177,,log2,20,100
65626.94820047177,50.0,sqrt,20,100
65626.94820047177,30.0,log2,20,100
65626.94820047177,30.0,sqrt,20,100
65626.94820047177,50.0,log2,20,100
65734.26257760468,10.0,log2,20,100
65734.26257760468,10.0,sqrt,20,100
65762.54587089381,30.0,log2,5,100
65762.54587089381,,sqrt,5,100
65762.54587089381,,log2,5,100
65762.54587089381,50.0,log2,5,100
65762.54587089381,50.0,sqrt,5,100
65762.54587089381,30.0,sqrt,5,100
65778.51610031429,50.0,sqrt,10,75
65778.51610031429,,log2,10,75
65778.51610031429,50.0,log2,10,75
65778.51610031429,,sqrt,10,75
65778.51610031429,30.0,log2,10,75
65778.51610031429,30.0,sqrt,10,75
65813.53310100382,30.0,log2,15,75
65813.53310100382,30.0,sqrt,15,75
65813.53310100382,,sqrt,15,75
65813.53310100382,,log2,15,75
65813.53310100382,50.0,sqrt,15,75
65813.53310100382,50.0,log2,15,75
65865.15899187431,,log2,1,75
65865.15899187431,50.0,log2,1,75
65865.15899187431,,sqrt,1,75
65865.15899187431,30.0,log2,1,75
65865.15899187431,50.0,sqrt,1,75
65865.15899187431,30.0,sqrt,1,75
65910.0181157374,10.0,log2,1,75
65910.0181157374,10.0,sqrt,1,75
65913.7041435853,10.0,log2,20,10
65913.7041435853,10.0,log2,20,20
65913.7041435853,10.0,sqrt,20,10
65913.7041435853,10.0,sqrt,20,20
65960.27653986892,10.0,sqrt,1,100
65960.27653986892,10.0,log2,1,100
66025.53674335484,10.0,log2,5,20
66025.53674335484,10.0,sqrt,5,20
66077.69811927393,30.0,sqrt,20,50
66077.69811927393,,log2,20,50
66077.69811927393,50.0,sqrt,20,50
66077.69811927393,30.0,log2,20,50
66077.69811927393,50.0,log2,20,50
66077.69811927393,,sqrt,20,50
66079.78934396523,10.0,sqrt,5,10
66079.78934396523,10.0,log2,5,10
66085.51993758054,10.0,log2,5,50
66085.51993758054,10.0,sqrt,5,50
66268.28921943864,10.0,log2,1,20
66268.28921943864,10.0,sqrt,1,20
66310.40695025166,,sqrt,15,100
66310.40695025166,30.0,sqrt,15,100
66310.40695025166,,log2,15,100
66310.40695025166,50.0,log2,15,100
66310.40695025166,30.0,log2,15,100
66310.40695025166,50.0,sqrt,15,100
66550.26509797896,30.0,,1,10
66556.83147630529,10.0,sqrt,10,100
66556.83147630529,10.0,log2,10,100
66569.9365618405,50.0,,1,10
66569.9365618405,,,1,10
66590.9849645443,10.0,log2,15,75
66590.9849645443,10.0,sqrt,15,75
66593.40808620318,10.0,log2,10,75
66593.40808620318,10.0,sqrt,10,75
66608.11526023544,10.0,sqrt,10,50
66608.11526023544,10.0,log2,10,50
66887.3903794975,10.0,log2,15,100
66887.3903794975,10.0,sqrt,15,100
66895.67848546653,10.0,sqrt,5,100
66895.67848546653,10.0,log2,5,100
67308.63426329449,10.0,log2,20,75
67308.63426329449,10.0,sqrt,20,75
67601.88561595428,10.0,log2,1,50
67601.88561595428,10.0,sqrt,1,50
67621.96796932141,10.0,sqrt,1,10
67621.96796932141,10.0,log2,1,10
68145.53447229418,50.0,sqrt,1,20
68145.53447229418,,sqrt,1,20
68145.53447229418,30.0,log2,1,20
68145.53447229418,,log2,1,20
68145.53447229418,50.0,log2,1,20
68145.53447229418,30.0,sqrt,1,20
68411.13206860209,30.0,sqrt,5,10
68411.13206860209,,log2,5,10
68411.13206860209,30.0,log2,5,10
68411.13206860209,,sqrt,5,10
68411.13206860209,50.0,sqrt,5,10
68411.13206860209,50.0,log2,5,10
69377.18114816981,30.0,log2,1,10
69377.18114816981,30.0,sqrt,1,10
69418.99351028106,50.0,sqrt,1,10
69418.99351028106,,log2,1,10
69418.99351028106,,sqrt,1,10
69418.99351028106,50.0,log2,1,10
